業務	BUC	アクティビティ	次	UC	情報	条件	アクター	外部システム	状態モデル	From状態	To状態	説明
貸出業務	問合せ回答フロー	問合せ内容を確認する	↓	問合せ内容を参照する	問合せ		会議室オーナー					会議室オーナーが利用者からの問合せ内容を確認する
貸出業務	問合せ回答フロー	問合せに回答する		問合せ回答を登録する	問合せ	問合せ分離管理	会議室オーナー		問合せ状態	対応中	回答済	会議室オーナーが利用者の問合せに回答する
実績管理業務	会議室利用実績管理フロー	会議室別利用実績を集計する	↓	会議室別利用実績を集計する	利用履歴	売上・利用履歴のオーナー別管理	実績管理担当者					実績管理担当者が会議室別の利用実績を集計する
実績管理業務	会議室利用実績管理フロー	売上実績を集計する	↓	売上実績を集計する	売上実績	売上・利用履歴のオーナー別管理	実績管理担当者					実績管理担当者が会議室別・貸出別の売上実績を集計する
実績管理業務	会議室利用実績管理フロー	利用実績・売上実績を参照する		会議室利用実績を参照する	利用履歴,売上実績		会議室オーナー					会議室オーナーが自身の会議室の利用実績・売上実績を参照する
サービス運営業務	手数料売上分析フロー	手数料売上データを集計する	↓	手数料売上を集計する	手数料売上,利用履歴	手数料徴収ルール	サービス運営担当者					サービス運営担当者が会議室別・貸出別の手数料売上を集計する
サービス運営業務	手数料売上分析フロー	手数料売上を分析する		手数料売上を分析する	手数料売上		サービス運営担当者					サービス運営担当者が手数料売上の傾向を分析する
サービス運営業務	利用履歴管理フロー	会員別利用履歴を管理する	↓	会員別利用履歴を参照する	利用履歴		サービス運営担当者					サービス運営担当者が会員別の利用履歴を管理する
サービス運営業務	利用履歴管理フロー	物件別利用履歴を管理する		物件別利用履歴を参照する	利用履歴		サービス運営担当者					サービス運営担当者が物件別の利用履歴を管理する
サービス運営業務	会議室利用状況分析フロー	会議室利用状況を集計する	↓	会議室利用状況を集計する	利用履歴,会議室		サービス運営担当者					サービス運営担当者がサービス全体の会議室利用状況を集計する
サービス運営業務	会議室利用状況分析フロー	会議室利用状況を分析する		会議室利用状況を分析する	利用履歴,会議室		サービス運営担当者					サービス運営担当者が会議室利用状況の傾向を分析する
サービス運営業務	サービス問合せ対応フロー	サービス問合せを受付する	↓	サービス問合せを受付する	問合せ	問合せ分離管理	サービス運営担当者		問合せ状態		受付	サービス運営担当者が利用者からのサービス問合せを受付する
サービス運営業務	サービス問合せ対応フロー	サービス問合せに回答する		サービス問合せに回答する	問合せ	問合せ分離管理	サービス運営担当者		問合せ状態	対応中	回答済	サービス運営担当者が利用者のサービス問合せに回答する
清算業務	オーナー清算フロー	会議室別利用履歴を集計する	↓	会議室別利用履歴を集計する	利用履歴	売上・利用履歴のオーナー別管理	清算担当者		清算状態	未清算	清算対象	清算担当者が会議室別の利用履歴を集計する
清算業務	オーナー清算フロー	オーナー清算額を算出する	↓	オーナー清算額を算出する	清算	清算額算出基準,手数料徴収ルール	清算担当者					清算担当者が会議室オーナーへの清算額を算出する
清算業務	オーナー清算フロー	清算額を承認する	↓	清算額を承認する	清算	オーナー清算月末一括	清算担当者		清算状態	清算対象	清算中	清算担当者が算出された清算額を承認する
清算業務	オーナー清算フロー	決済機関へ支払指示を送信する	↓	決済機関へ支払指示を送信する	清算	オーナー清算月末一括	清算担当者	決済機関	清算状態	清算中	支払済	清算担当者が月末に決済機関へオーナー向けの支払指示を送信する
清算業務	オーナー清算フロー	オーナーへの支払を確認する		オーナー支払結果を確認する	清算		会議室オーナー	決済機関				会議室オーナーが決済機関経由での支払着金を確認する
決済業務	利用料引落フロー	利用完了を確認する	↓	会議室利用完了を確認する	予約,貸出	会議室利用終了成立条件	清算担当者		予約状態	確定	利用済	清算担当者が会議室の利用完了を確認する
決済業務	利用料引落フロー	利用料を算出する	↓	利用料を算出する	予約,清算	利用料引落の実行主体	清算担当者					清算担当者が利用者への請求額（利用料）を算出する
決済業務	利用料引落フロー	決済機関へ引落指示を送信する	↓	決済機関へ引落指示を送信する	決済手段,清算	利用料引落の実行主体	清算担当者	決済機関	決済状態	登録済	オーソリ済	清算担当者が決済機関へ利用料の引落指示を送信する
決済業務	利用料引落フロー	引落結果を確認する	↓	引落結果を確認する	決済手段,清算		清算担当者	決済機関	決済状態	オーソリ済	引落済	清算担当者が決済機関からの引落結果を確認する
決済業務	利用料引落フロー	引落失敗時の再請求を行う		引落失敗を記録し再請求する	決済手段,清算,予約	決済失敗時の取扱い	清算担当者	決済機関	決済状態	オーソリ済	失敗	引落が失敗した場合に再請求などのイレギュラー対応を実施する
