業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	画面要求
オーナー管理業務	オーナープロフィール管理フロー		プロフィールを更新する		オーナープロフィールを更新する	画面	オーナープロフィール更新画面	アクター	会議室オーナー	会議室オーナーが自身のプロフィール情報を更新する	現在のプロフィール内容を確認しながら変更点のみを更新でき、更新前後の差分が把握できること
オーナー管理業務	オーナー退会フロー		オーナー退会を申請する	↓	オーナー退会を申請する	情報	オーナー			会議室オーナーが退会を申請する	
オーナー管理業務	オーナー退会フロー		オーナー退会を申請する	↓	オーナー退会を申請する	画面	オーナー退会申請画面	アクター	会議室オーナー	会議室オーナーが退会を申請する	退会理由を選択・入力し、未清算・公開中物件の有無を事前に確認したうえで申請できること
オーナー管理業務	オーナー退会フロー		退会申請を承認する	↓	オーナー退会を承認する	情報	オーナー			オーナー管理担当者が退会申請内容を確認し承認する	
オーナー管理業務	オーナー退会フロー		退会申請を承認する	↓	オーナー退会を承認する	条件	退会時の未清算チェック			オーナー管理担当者が退会申請内容を確認し承認する	
オーナー管理業務	オーナー退会フロー		退会申請を承認する	↓	オーナー退会を承認する	画面	オーナー退会承認画面	アクター	オーナー管理担当者	オーナー管理担当者が退会申請内容を確認し承認する	退会申請内容と未清算有無を確認し、承認可否を判定・記録できること
オーナー管理業務	オーナー退会フロー		オーナー退会処理を実施する		オーナーを退会させる	情報	オーナー			承認された退会申請に基づき退会処理を実施する	
オーナー管理業務	オーナー退会フロー		オーナー退会処理を実施する		オーナーを退会させる	条件	退会時の未清算チェック			承認された退会申請に基づき退会処理を実施する	
オーナー管理業務	オーナー退会フロー		オーナー退会処理を実施する		オーナーを退会させる	画面	オーナー退会処理画面	アクター	オーナー管理担当者	承認された退会申請に基づき退会処理を実施する	承認済み退会申請に対して退会処理を実行でき、処理結果と日時を記録できること
オーナー管理業務	オーナー審査フロー		オーナー申請内容を確認する	↓	オーナー申請内容を参照する	情報	オーナー			オーナー管理担当者が申請内容を確認する	
オーナー管理業務	オーナー審査フロー		オーナー申請内容を確認する	↓	オーナー申請内容を参照する	画面	オーナー申請内容参照画面	アクター	オーナー管理担当者	オーナー管理担当者が申請内容を確認する	申請者情報・添付書類・申請履歴を一覧で参照でき、審査判断に必要な情報にすぐアクセスできること
オーナー管理業務	オーナー審査フロー		オーナー審査結果を判定する		オーナー審査結果を記録する	情報	オーナー			オーナー管理担当者が審査結果（承認/却下）を判定し記録する	
オーナー管理業務	オーナー審査フロー		オーナー審査結果を判定する		オーナー審査結果を記録する	条件	オーナー審査必須			オーナー管理担当者が審査結果（承認/却下）を判定し記録する	
オーナー管理業務	オーナー審査フロー		オーナー審査結果を判定する		オーナー審査結果を記録する	画面	オーナー審査結果記録画面	アクター	オーナー管理担当者	オーナー管理担当者が審査結果（承認/却下）を判定し記録する	審査区分（承認・却下・保留）と審査コメントを選択・入力でき、結果確定前に内容を確認できること
会議室管理業務	会議室登録フロー		物件情報を登録する	↓	会議室物件情報を登録する	情報	会議室			会議室オーナーが広さ・価格・機能性などの物件情報を登録する	
会議室管理業務	会議室登録フロー		物件情報を登録する	↓	会議室物件情報を登録する	画面	会議室物件情報登録画面	アクター	会議室オーナー	会議室オーナーが広さ・価格・機能性などの物件情報を登録する	広さ・価格・機能性などの物件情報を入力でき、写真や設備区分を選択しながら登録できること
会議室管理業務	会議室登録フロー		運用ルールを設定する	↓	会議室運用ルールを設定する	情報	会議室			会議室オーナーがキャンセルポリシー・貸出可否などの運用ルールを設定する	
会議室管理業務	会議室登録フロー		運用ルールを設定する	↓	会議室運用ルールを設定する	情報	運用ルール			会議室オーナーがキャンセルポリシー・貸出可否などの運用ルールを設定する	
会議室管理業務	会議室登録フロー		運用ルールを設定する	↓	会議室運用ルールを設定する	条件	会議室貸出可否判定			会議室オーナーがキャンセルポリシー・貸出可否などの運用ルールを設定する	
会議室管理業務	会議室登録フロー		運用ルールを設定する	↓	会議室運用ルールを設定する	画面	会議室運用ルール設定画面	アクター	会議室オーナー	会議室オーナーがキャンセルポリシー・貸出可否などの運用ルールを設定する	キャンセルポリシーや貸出可否などの運用ルールを選択肢から設定でき、設定内容をプレビューできること
会議室管理業務	会議室登録フロー		会議室登録を受付する		会議室登録を受付する	情報	会議室			会議室管理担当者が登録内容を受付して会議室を有効化する	
会議室管理業務	会議室登録フロー		会議室登録を受付する		会議室登録を受付する	画面	会議室登録受付画面	アクター	会議室管理担当者	会議室管理担当者が登録内容を受付して会議室を有効化する	オーナーが登録した会議室情報を確認し、受付して公開状態に切り替えられること
会議室管理業務	会議室評価確認フロー		会議室評価を参照する		会議室評価を参照する	情報	会議室			会議室オーナーが自身の会議室に対する利用者からの評価を参照する	
会議室管理業務	会議室評価確認フロー		会議室評価を参照する		会議室評価を参照する	情報	評価			会議室オーナーが自身の会議室に対する利用者からの評価を参照する	
会議室管理業務	会議室評価確認フロー		会議室評価を参照する		会議室評価を参照する	画面	会議室評価参照画面	アクター	会議室オーナー	会議室オーナーが自身の会議室に対する利用者からの評価を参照する	自身の会議室に対する評価一覧と平均評価点、個別コメントを参照できること
予約業務	会議室照会フロー		会議室を検索する	↓	会議室を検索する	情報	会議室			利用者が広さ・価格・機能性・評価などの条件で会議室を検索する	
予約業務	会議室照会フロー		会議室を検索する	↓	会議室を検索する	条件	会議室照会条件			利用者が広さ・価格・機能性・評価などの条件で会議室を検索する	
予約業務	会議室照会フロー		会議室を検索する	↓	会議室を検索する	条件	会議室貸出可否判定			利用者が広さ・価格・機能性・評価などの条件で会議室を検索する	
予約業務	会議室照会フロー		会議室を検索する	↓	会議室を検索する	画面	会議室検索画面	アクター	利用者	利用者が広さ・価格・機能性・評価などの条件で会議室を検索する	広さ・価格・機能性・評価などの条件で会議室を絞り込み検索でき、貸出可否状態を確認できること
予約業務	会議室照会フロー		会議室詳細を照会する		会議室詳細を参照する	情報	会議室			利用者が検索結果から会議室の詳細情報と評価を照会する	
予約業務	会議室照会フロー		会議室詳細を照会する		会議室詳細を参照する	情報	評価			利用者が検索結果から会議室の詳細情報と評価を照会する	
予約業務	会議室照会フロー		会議室詳細を照会する		会議室詳細を参照する	条件	会議室照会条件			利用者が検索結果から会議室の詳細情報と評価を照会する	
予約業務	会議室照会フロー		会議室詳細を照会する		会議室詳細を参照する	画面	会議室詳細画面	アクター	利用者	利用者が検索結果から会議室の詳細情報と評価を照会する	会議室の物件情報・評価・運用ルールを総合的に参照でき、予約へスムーズに進めること
予約業務	会議室予約フロー		利用日時を選択する	↓	利用日時を選択する	情報	会議室			利用者が会議室の利用日時を選択する	
予約業務	会議室予約フロー		利用日時を選択する	↓	利用日時を選択する	情報	予約			利用者が会議室の利用日時を選択する	
予約業務	会議室予約フロー		利用日時を選択する	↓	利用日時を選択する	画面	利用日時選択画面	アクター	利用者	利用者が会議室の利用日時を選択する	会議室の空き状況をカレンダー形式で確認でき、希望する利用日時を選択できること
予約業務	会議室予約フロー		決済手段を登録する	↓	決済手段を登録する	情報	決済手段			利用者がクレジットカードや電子マネーなどの決済手段を登録する	
予約業務	会議室予約フロー		決済手段を登録する	↓	決済手段を登録する	条件	決済手段事前登録必須			利用者がクレジットカードや電子マネーなどの決済手段を登録する	
予約業務	会議室予約フロー		決済手段を登録する	↓	決済手段を登録する	画面	決済手段登録画面	アクター	利用者	利用者がクレジットカードや電子マネーなどの決済手段を登録する	クレジットカードや電子マネーなどの決済手段を安全に登録でき、登録済みの決済手段を管理できること
予約業務	会議室予約フロー		会議室を予約する	↓	会議室予約を登録する	情報	予約			利用者が会議室の予約を確定する	
予約業務	会議室予約フロー		会議室を予約する	↓	会議室予約を登録する	情報	決済手段			利用者が会議室の予約を確定する	
予約業務	会議室予約フロー		会議室を予約する	↓	会議室予約を登録する	条件	決済手段事前登録必須			利用者が会議室の予約を確定する	
予約業務	会議室予約フロー		会議室を予約する	↓	会議室予約を登録する	条件	会議室貸出可否判定			利用者が会議室の予約を確定する	
予約業務	会議室予約フロー		会議室を予約する	↓	会議室予約を登録する	画面	会議室予約登録画面	アクター	利用者	利用者が会議室の予約を確定する	選択した会議室・利用日時・決済手段を確認して予約を確定でき、予約内容の最終確認ができること
予約業務	会議室予約フロー		予約を受付する		会議室予約を受付する	情報	予約			予約管理担当者が予約内容を受付して確定する	
予約業務	会議室予約フロー		予約を受付する		会議室予約を受付する	画面	会議室予約受付画面	アクター	予約管理担当者	予約管理担当者が予約内容を受付して確定する	仮予約状態の予約を一覧で確認し、予約を受付して確定状態に切り替えられること
予約業務	予約変更・取消フロー		予約を照会する	↓	予約を参照する	情報	予約			利用者が自身の予約を照会する	
予約業務	予約変更・取消フロー		予約を照会する	↓	予約を参照する	画面	予約照会画面	アクター	利用者	利用者が自身の予約を照会する	自身の予約一覧と各予約の詳細・ステータスを参照でき、変更・取消操作へ遷移できること
予約業務	予約変更・取消フロー		予約を変更・取消する	↓	予約を変更する	情報	予約			利用者が予約内容の変更または取消を行う	
予約業務	予約変更・取消フロー		予約を変更・取消する	↓	予約を変更する	条件	予約変更・取消のポリシー適用			利用者が予約内容の変更または取消を行う	
予約業務	予約変更・取消フロー		予約を変更・取消する	↓	予約を変更する	画面	予約変更・取消画面	アクター	利用者	利用者が予約内容の変更または取消を行う	予約内容の変更または取消を行え、キャンセルポリシーに基づく返金可否と手数料が事前に確認できること
予約業務	予約変更・取消フロー		変更・取消を受付する		予約取消を受付する	情報	予約			予約管理担当者が変更・取消内容を受付して反映する	
予約業務	予約変更・取消フロー		変更・取消を受付する		予約取消を受付する	条件	予約変更・取消のポリシー適用			予約管理担当者が変更・取消内容を受付して反映する	
予約業務	予約変更・取消フロー		変更・取消を受付する		予約取消を受付する	画面	予約取消受付画面	アクター	予約管理担当者	予約管理担当者が変更・取消内容を受付して反映する	変更・取消申請を一覧で確認し、ポリシーを確認しながら受付できること
予約業務	オーナーへの問合せフロー		オーナーへ問合せする	↓	オーナーへの問合せを登録する	情報	問合せ			利用者が会議室オーナーへ問合せを送信する	
予約業務	オーナーへの問合せフロー		オーナーへ問合せする	↓	オーナーへの問合せを登録する	条件	問合せ分離管理			利用者が会議室オーナーへ問合せを送信する	
予約業務	オーナーへの問合せフロー		オーナーへ問合せする	↓	オーナーへの問合せを登録する	画面	オーナー問合せ登録画面	アクター	利用者	利用者が会議室オーナーへ問合せを送信する	問合せ対象の会議室・オーナーを選択し、問合せ種別と内容を入力して送信できること
予約業務	オーナーへの問合せフロー		問合せを受付する		オーナーへの問合せを受付する	情報	問合せ			予約管理担当者が問合せを受付してオーナーへ連携する	
予約業務	オーナーへの問合せフロー		問合せを受付する		オーナーへの問合せを受付する	条件	問合せ分離管理			予約管理担当者が問合せを受付してオーナーへ連携する	
予約業務	オーナーへの問合せフロー		問合せを受付する		オーナーへの問合せを受付する	画面	オーナー問合せ受付画面	アクター	予約管理担当者	予約管理担当者が問合せを受付してオーナーへ連携する	利用者からのオーナー宛問合せを一覧で確認し、受付してオーナーへ連携できること
貸出業務	会議室貸出フロー		予約内容を確認する	↓	予約内容を確認する	情報	予約			会議室オーナーが当日の予約内容を確認する	
貸出業務	会議室貸出フロー		予約内容を確認する	↓	予約内容を確認する	画面	当日予約確認画面	アクター	会議室オーナー	会議室オーナーが当日の予約内容を確認する	当日の予約一覧と利用者情報・利用時間を参照でき、受け入れ準備に必要な情報を確認できること
貸出業務	会議室貸出フロー		利用者の過去評価を確認する	↓	利用者評価履歴を参照する	情報	利用者			会議室オーナーが利用者の過去の利用評価を確認する	
貸出業務	会議室貸出フロー		利用者の過去評価を確認する	↓	利用者評価履歴を参照する	情報	評価			会議室オーナーが利用者の過去の利用評価を確認する	
貸出業務	会議室貸出フロー		利用者の過去評価を確認する	↓	利用者評価履歴を参照する	条件	貸出時利用者評価確認			会議室オーナーが利用者の過去の利用評価を確認する	
貸出業務	会議室貸出フロー		利用者の過去評価を確認する	↓	利用者評価履歴を参照する	画面	利用者評価履歴画面	アクター	会議室オーナー	会議室オーナーが利用者の過去の利用評価を確認する	利用者の過去評価履歴・評価点・コメントを参照でき、使用許諾判断の参考にできること
貸出業務	会議室貸出フロー		利用者の使用を許諾する	↓	利用者の使用許諾を登録する	情報	貸出			会議室オーナーが利用者の使用を許諾する	
貸出業務	会議室貸出フロー		利用者の使用を許諾する	↓	利用者の使用許諾を登録する	条件	貸出時利用者評価確認			会議室オーナーが利用者の使用を許諾する	
貸出業務	会議室貸出フロー		利用者の使用を許諾する	↓	利用者の使用許諾を登録する	画面	利用者使用許諾画面	アクター	会議室オーナー	会議室オーナーが利用者の使用を許諾する	利用者の過去評価を確認したうえで使用許諾可否を登録でき、許諾理由を記録できること
貸出業務	会議室貸出フロー		カギを貸し出す	↓	カギ貸出を記録する	情報	貸出			会議室オーナーが利用者にカギを貸し出す	
貸出業務	会議室貸出フロー		カギを貸し出す	↓	カギ貸出を記録する	条件	会議室利用開始成立条件			会議室オーナーが利用者にカギを貸し出す	
貸出業務	会議室貸出フロー		カギを貸し出す	↓	カギ貸出を記録する	画面	カギ貸出記録画面	アクター	会議室オーナー	会議室オーナーが利用者にカギを貸し出す	カギの貸出日時と対象予約・利用者を記録でき、貸出履歴として参照できること
貸出業務	会議室貸出フロー		カギを受け取る	↓	カギ受取を記録する	情報	貸出			利用者が会議室オーナーからカギを受け取り利用開始となる	
貸出業務	会議室貸出フロー		カギを受け取る	↓	カギ受取を記録する	条件	会議室利用開始成立条件			利用者が会議室オーナーからカギを受け取り利用開始となる	
貸出業務	会議室貸出フロー		カギを受け取る	↓	カギ受取を記録する	画面	カギ受取記録画面	アクター	利用者	利用者が会議室オーナーからカギを受け取り利用開始となる	カギの受取完了を登録でき、利用開始状態に遷移したことを確認できること
貸出業務	会議室貸出フロー		カギを返却する	↓	カギ返却を記録する	情報	貸出			会議後に利用者がカギを返却する	
貸出業務	会議室貸出フロー		カギを返却する	↓	カギ返却を記録する	条件	会議室利用終了成立条件			会議後に利用者がカギを返却する	
貸出業務	会議室貸出フロー		カギを返却する	↓	カギ返却を記録する	画面	カギ返却記録画面	アクター	利用者	会議後に利用者がカギを返却する	カギの返却完了を登録でき、返却日時と利用終了見込みが確認できること
貸出業務	会議室貸出フロー		カギ返却を確認し利用終了とする		会議室利用終了を確定する	情報	貸出			会議室オーナーがカギの返却を確認し会議室利用を終了とする	
貸出業務	会議室貸出フロー		カギ返却を確認し利用終了とする		会議室利用終了を確定する	情報	予約			会議室オーナーがカギの返却を確認し会議室利用を終了とする	
貸出業務	会議室貸出フロー		カギ返却を確認し利用終了とする		会議室利用終了を確定する	条件	会議室利用終了成立条件			会議室オーナーがカギの返却を確認し会議室利用を終了とする	
貸出業務	会議室貸出フロー		カギ返却を確認し利用終了とする		会議室利用終了を確定する	画面	会議室利用終了確定画面	アクター	会議室オーナー	会議室オーナーがカギの返却を確認し会議室利用を終了とする	カギ返却状況を確認し、会議室利用終了を確定できること
貸出業務	利用者評価フロー		利用者を評価する		利用者評価を登録する	情報	利用者			会議室オーナーが利用者を評価し登録する	
貸出業務	利用者評価フロー		利用者を評価する		利用者評価を登録する	情報	評価			会議室オーナーが利用者を評価し登録する	
貸出業務	利用者評価フロー		利用者を評価する		利用者評価を登録する	条件	相互評価の成立条件			会議室オーナーが利用者を評価し登録する	
貸出業務	利用者評価フロー		利用者を評価する		利用者評価を登録する	条件	評価登録タイミング制約			会議室オーナーが利用者を評価し登録する	
貸出業務	利用者評価フロー		利用者を評価する		利用者評価を登録する	画面	利用者評価登録画面	アクター	会議室オーナー	会議室オーナーが利用者を評価し登録する	利用者に対する評価区分とコメントを登録でき、相互評価の成立条件を満たしていることが確認できること
貸出業務	会議室評価フロー		会議室を評価する	↓	会議室評価を登録する	情報	会議室			利用者が利用した会議室を評価する	
貸出業務	会議室評価フロー		会議室を評価する	↓	会議室評価を登録する	情報	評価			利用者が利用した会議室を評価する	
貸出業務	会議室評価フロー		会議室を評価する	↓	会議室評価を登録する	条件	相互評価の成立条件			利用者が利用した会議室を評価する	
貸出業務	会議室評価フロー		会議室を評価する	↓	会議室評価を登録する	条件	評価登録タイミング制約			利用者が利用した会議室を評価する	
貸出業務	会議室評価フロー		会議室を評価する	↓	会議室評価を登録する	画面	会議室評価登録画面	アクター	利用者	利用者が利用した会議室を評価する	利用した会議室に対する評価区分とコメントを登録でき、評価タイミング制約が確認できること
貸出業務	会議室評価フロー		ホストを評価する		ホスト評価を登録する	情報	オーナー			利用者が会議室オーナー（ホスト）を評価する	
貸出業務	会議室評価フロー		ホストを評価する		ホスト評価を登録する	情報	評価			利用者が会議室オーナー（ホスト）を評価する	
貸出業務	会議室評価フロー		ホストを評価する		ホスト評価を登録する	条件	相互評価の成立条件			利用者が会議室オーナー（ホスト）を評価する	
貸出業務	会議室評価フロー		ホストを評価する		ホスト評価を登録する	条件	評価登録タイミング制約			利用者が会議室オーナー（ホスト）を評価する	
貸出業務	会議室評価フロー		ホストを評価する		ホスト評価を登録する	画面	ホスト評価登録画面	アクター	利用者	利用者が会議室オーナー（ホスト）を評価する	会議室オーナー（ホスト）に対する評価区分とコメントを登録でき、相互評価状況が確認できること
貸出業務	問合せ回答フロー		問合せ内容を確認する	↓	問合せ内容を参照する	情報	問合せ			会議室オーナーが利用者からの問合せ内容を確認する	
貸出業務	問合せ回答フロー		問合せ内容を確認する	↓	問合せ内容を参照する	画面	問合せ内容参照画面	アクター	会議室オーナー	会議室オーナーが利用者からの問合せ内容を確認する	利用者からの問合せ一覧と問合せ詳細を参照でき、対応優先度を判断できること
貸出業務	問合せ回答フロー		問合せに回答する		問合せ回答を登録する	情報	問合せ			会議室オーナーが利用者の問合せに回答する	
貸出業務	問合せ回答フロー		問合せに回答する		問合せ回答を登録する	条件	問合せ分離管理			会議室オーナーが利用者の問合せに回答する	
貸出業務	問合せ回答フロー		問合せに回答する		問合せ回答を登録する	画面	問合せ回答登録画面	アクター	会議室オーナー	会議室オーナーが利用者の問合せに回答する	問合せ内容を確認しながら回答文を入力・登録でき、送信前に内容を確認できること
実績管理業務	会議室利用実績管理フロー		会議室別利用実績を集計する	↓	会議室別利用実績を集計する	情報	利用履歴			実績管理担当者が会議室別の利用実績を集計する	
実績管理業務	会議室利用実績管理フロー		会議室別利用実績を集計する	↓	会議室別利用実績を集計する	条件	売上・利用履歴のオーナー別管理			実績管理担当者が会議室別の利用実績を集計する	
実績管理業務	会議室利用実績管理フロー		会議室別利用実績を集計する	↓	会議室別利用実績を集計する	画面	会議室別利用実績集計画面	アクター	実績管理担当者	実績管理担当者が会議室別の利用実績を集計する	会議室別に利用実績を期間・物件で集計でき、集計結果を一覧・グラフで確認できること
実績管理業務	会議室利用実績管理フロー		売上実績を集計する	↓	売上実績を集計する	情報	売上実績			実績管理担当者が会議室別・貸出別の売上実績を集計する	
実績管理業務	会議室利用実績管理フロー		売上実績を集計する	↓	売上実績を集計する	条件	売上・利用履歴のオーナー別管理			実績管理担当者が会議室別・貸出別の売上実績を集計する	
実績管理業務	会議室利用実績管理フロー		売上実績を集計する	↓	売上実績を集計する	画面	売上実績集計画面	アクター	実績管理担当者	実績管理担当者が会議室別・貸出別の売上実績を集計する	会議室別・貸出別の売上実績を期間指定で集計でき、集計条件と結果を確認できること
実績管理業務	会議室利用実績管理フロー		利用実績・売上実績を参照する		会議室利用実績を参照する	情報	利用履歴			会議室オーナーが自身の会議室の利用実績・売上実績を参照する	
実績管理業務	会議室利用実績管理フロー		利用実績・売上実績を参照する		会議室利用実績を参照する	情報	売上実績			会議室オーナーが自身の会議室の利用実績・売上実績を参照する	
実績管理業務	会議室利用実績管理フロー		利用実績・売上実績を参照する		会議室利用実績を参照する	画面	会議室利用実績参照画面	アクター	会議室オーナー	会議室オーナーが自身の会議室の利用実績・売上実績を参照する	自身の会議室の利用実績と売上実績を期間単位で参照でき、推移をグラフで把握できること
サービス運営業務	手数料売上分析フロー		手数料売上データを集計する	↓	手数料売上を集計する	情報	手数料売上			サービス運営担当者が会議室別・貸出別の手数料売上を集計する	
サービス運営業務	手数料売上分析フロー		手数料売上データを集計する	↓	手数料売上を集計する	情報	利用履歴			サービス運営担当者が会議室別・貸出別の手数料売上を集計する	
サービス運営業務	手数料売上分析フロー		手数料売上データを集計する	↓	手数料売上を集計する	条件	手数料徴収ルール			サービス運営担当者が会議室別・貸出別の手数料売上を集計する	
サービス運営業務	手数料売上分析フロー		手数料売上データを集計する	↓	手数料売上を集計する	画面	手数料売上集計画面	アクター	サービス運営担当者	サービス運営担当者が会議室別・貸出別の手数料売上を集計する	会議室別・貸出別の手数料売上を期間指定で集計でき、集計条件とルールを確認できること
サービス運営業務	手数料売上分析フロー		手数料売上を分析する		手数料売上を分析する	情報	手数料売上			サービス運営担当者が手数料売上の傾向を分析する	
サービス運営業務	手数料売上分析フロー		手数料売上を分析する		手数料売上を分析する	画面	手数料売上分析画面	アクター	サービス運営担当者	サービス運営担当者が手数料売上の傾向を分析する	手数料売上の推移・傾向をグラフや表で分析でき、切り口を変更して比較できること
サービス運営業務	利用履歴管理フロー		会員別利用履歴を管理する	↓	会員別利用履歴を参照する	情報	利用履歴			サービス運営担当者が会員別の利用履歴を管理する	
サービス運営業務	利用履歴管理フロー		会員別利用履歴を管理する	↓	会員別利用履歴を参照する	画面	会員別利用履歴画面	アクター	サービス運営担当者	サービス運営担当者が会員別の利用履歴を管理する	会員ごとの利用履歴を検索・参照でき、利用頻度や傾向を把握できること
サービス運営業務	利用履歴管理フロー		物件別利用履歴を管理する		物件別利用履歴を参照する	情報	利用履歴			サービス運営担当者が物件別の利用履歴を管理する	
サービス運営業務	利用履歴管理フロー		物件別利用履歴を管理する		物件別利用履歴を参照する	画面	物件別利用履歴画面	アクター	サービス運営担当者	サービス運営担当者が物件別の利用履歴を管理する	物件ごとの利用履歴を検索・参照でき、物件単位の稼働状況を把握できること
サービス運営業務	会議室利用状況分析フロー		会議室利用状況を集計する	↓	会議室利用状況を集計する	情報	利用履歴			サービス運営担当者がサービス全体の会議室利用状況を集計する	
サービス運営業務	会議室利用状況分析フロー		会議室利用状況を集計する	↓	会議室利用状況を集計する	情報	会議室			サービス運営担当者がサービス全体の会議室利用状況を集計する	
サービス運営業務	会議室利用状況分析フロー		会議室利用状況を集計する	↓	会議室利用状況を集計する	画面	会議室利用状況集計画面	アクター	サービス運営担当者	サービス運営担当者がサービス全体の会議室利用状況を集計する	サービス全体の会議室利用状況を期間・エリア等で集計でき、集計条件を指定できること
サービス運営業務	会議室利用状況分析フロー		会議室利用状況を分析する		会議室利用状況を分析する	情報	利用履歴			サービス運営担当者が会議室利用状況の傾向を分析する	
サービス運営業務	会議室利用状況分析フロー		会議室利用状況を分析する		会議室利用状況を分析する	情報	会議室			サービス運営担当者が会議室利用状況の傾向を分析する	
サービス運営業務	会議室利用状況分析フロー		会議室利用状況を分析する		会議室利用状況を分析する	画面	会議室利用状況分析画面	アクター	サービス運営担当者	サービス運営担当者が会議室利用状況の傾向を分析する	会議室利用状況の傾向をグラフ・レポートで分析でき、複数の切り口で比較できること
サービス運営業務	サービス問合せ対応フロー		サービス問合せを受付する	↓	サービス問合せを受付する	情報	問合せ			サービス運営担当者が利用者からのサービス問合せを受付する	
サービス運営業務	サービス問合せ対応フロー		サービス問合せを受付する	↓	サービス問合せを受付する	条件	問合せ分離管理			サービス運営担当者が利用者からのサービス問合せを受付する	
サービス運営業務	サービス問合せ対応フロー		サービス問合せを受付する	↓	サービス問合せを受付する	画面	サービス問合せ受付画面	アクター	サービス運営担当者	サービス運営担当者が利用者からのサービス問合せを受付する	利用者からのサービス問合せを一覧で確認し、受付して対応中状態に切り替えられること
サービス運営業務	サービス問合せ対応フロー		サービス問合せに回答する		サービス問合せに回答する	情報	問合せ			サービス運営担当者が利用者のサービス問合せに回答する	
サービス運営業務	サービス問合せ対応フロー		サービス問合せに回答する		サービス問合せに回答する	条件	問合せ分離管理			サービス運営担当者が利用者のサービス問合せに回答する	
サービス運営業務	サービス問合せ対応フロー		サービス問合せに回答する		サービス問合せに回答する	画面	サービス問合せ回答画面	アクター	サービス運営担当者	サービス運営担当者が利用者のサービス問合せに回答する	問合せ内容と過去対応履歴を参照しながら回答文を入力・送信できること
