コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
会議室利用管理	会議室利用	利用開始		利用中	会議室の利用状態を管理する。物理会議室は鍵の受け渡しをトリガーとして利用開始・終了する。バーチャル会議室は予約確定で利用開始、利用終了時刻到来で利用終了する。バーチャル会議室利用ポリシーに基づく
会議室利用管理	会議室利用	利用中	鍵の返却を記録する	利用終了	会議室の利用状態を管理する。物理会議室は鍵の受け渡しをトリガーとして利用開始・終了する。バーチャル会議室は予約確定で利用開始、利用終了時刻到来で利用終了する。バーチャル会議室利用ポリシーに基づく
会議室利用管理	会議室利用	利用中	バーチャル会議室利用を終了する	利用終了	会議室の利用状態を管理する。物理会議室は鍵の受け渡しをトリガーとして利用開始・終了する。バーチャル会議室は予約確定で利用開始、利用終了時刻到来で利用終了する。バーチャル会議室利用ポリシーに基づく
会議室利用管理	会議室利用	利用終了			会議室の利用状態を管理する。物理会議室は鍵の受け渡しをトリガーとして利用開始・終了する。バーチャル会議室は予約確定で利用開始、利用終了時刻到来で利用終了する。バーチャル会議室利用ポリシーに基づく
問合せ管理	問合せ		オーナーへ問合せを送信する	未対応	利用者からの問合せの対応状態を管理する。問合せ受付後は未対応となり、オーナーまたはサービス運営担当者の対応により回答済み・対応済みに遷移する
問合せ管理	問合せ	未対応	問合せに回答する	回答済み	利用者からの問合せの対応状態を管理する。問合せ受付後は未対応となり、オーナーまたはサービス運営担当者の対応により回答済み・対応済みに遷移する
問合せ管理	問合せ	回答済み	問合せに対応する	対応済み	利用者からの問合せの対応状態を管理する。問合せ受付後は未対応となり、オーナーまたはサービス運営担当者の対応により回答済み・対応済みに遷移する
問合せ管理	問合せ	対応済み			利用者からの問合せの対応状態を管理する。問合せ受付後は未対応となり、オーナーまたはサービス運営担当者の対応により回答済み・対応済みに遷移する
精算管理	精算		精算額を計算する	未精算	精算情報の状態を管理する。月末に会議室別の利用履歴から精算額を計算し、決済機関を通じてオーナーへ支払う。精算ルールおよび支払精算ポリシーに基づく
精算管理	精算	未精算	精算額を計算する	精算計算済み	精算情報の状態を管理する。月末に会議室別の利用履歴から精算額を計算し、決済機関を通じてオーナーへ支払う。精算ルールおよび支払精算ポリシーに基づく
精算管理	精算	精算計算済み	精算を実行する	支払済み	精算情報の状態を管理する。月末に会議室別の利用履歴から精算額を計算し、決済機関を通じてオーナーへ支払う。精算ルールおよび支払精算ポリシーに基づく
精算管理	精算	支払済み			精算情報の状態を管理する。月末に会議室別の利用履歴から精算額を計算し、決済機関を通じてオーナーへ支払う。精算ルールおよび支払精算ポリシーに基づく
会議室管理	鍵		鍵の貸出を記録する	保管中	会議室の鍵の貸出・返却状態を管理する。会議室利用ポリシーに基づき、鍵の受け渡しにより会議室利用の開始・終了を制御する
会議室管理	鍵	保管中	鍵の貸出を記録する	貸出中	会議室の鍵の貸出・返却状態を管理する。会議室利用ポリシーに基づき、鍵の受け渡しにより会議室利用の開始・終了を制御する
会議室管理	鍵	貸出中	鍵の返却を記録する	保管中	会議室の鍵の貸出・返却状態を管理する。会議室利用ポリシーに基づき、鍵の受け渡しにより会議室利用の開始・終了を制御する
会議室管理	鍵	保管中			会議室の鍵の貸出・返却状態を管理する。会議室利用ポリシーに基づき、鍵の受け渡しにより会議室利用の開始・終了を制御する
決済管理	決済		決済方法を設定する	未登録	利用料の決済状態を管理する。支払精算ポリシーに基づき、予約時に決済手段を登録し、利用後に引き落としを行う一連の決済フローを制御する
決済管理	決済	未登録	決済方法を設定する	決済手段登録済み	利用料の決済状態を管理する。支払精算ポリシーに基づき、予約時に決済手段を登録し、利用後に引き落としを行う一連の決済フローを制御する
決済管理	決済	決済手段登録済み	精算を実行する	引き落とし済み	利用料の決済状態を管理する。支払精算ポリシーに基づき、予約時に決済手段を登録し、利用後に引き落としを行う一連の決済フローを制御する
決済管理	決済	引き落とし済み			利用料の決済状態を管理する。支払精算ポリシーに基づき、予約時に決済手段を登録し、利用後に引き落としを行う一連の決済フローを制御する
